c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 759, 1515 ],
    [ 760, 333 ],
    [ 761, 705 ],
    [ 762, 537 ],
    [ 763, 615 ],
    [ 764, 711 ],
    [ 765, 1031 ],
    [ 766, 2143 ],
    [ 767, 699 ],
    [ 768, 183 ],
    [ 769, 17 ],
    [ 770, 63 ],
    [ 771, 365 ],
    [ 772, 745 ],
    [ 773, 1091 ],
    [ 774, 745 ],
    [ 775, 825 ],
    [ 776, 247 ],
    [ 777, 605 ],
    [ 778, 1107 ],
    [ 779, 345 ],
    [ 780, 687 ],
    [ 781, 2925 ],
    [ 782, 595 ],
    [ 783, 1373 ],
    [ 784, 3 ],
    [ 785, 75 ],
    [ 786, 309 ],
    [ 787, 39 ],
    [ 788, 133 ],
    [ 789, 761 ],
    [ 790, 205 ],
    [ 791, 335 ],
    [ 792, 201 ],
    [ 793, 417 ],
    [ 794, 289 ],
    [ 795, 63 ],
    [ 796, 567 ],
    [ 797, 105 ],
    [ 798, 7 ],
    [ 799, 221 ],
    [ 800, 25 ],
    [ 801, 1557 ],
    [ 802, 423 ],
    [ 803, 1355 ],
    [ 804, 367 ],
    [ 805, 1505 ],
    [ 806, 117 ],
    [ 807, 149 ],
    [ 808, 15 ],
    [ 809, 107 ],
    [ 810, 669 ],
    [ 811, 65 ],
    [ 812, 603 ],
    [ 813, 129 ],
    [ 814, 235 ],
    [ 815, 179 ],
    [ 816, 127 ],
    [ 817, 359 ],
    [ 818, 417 ],
    [ 819, 165 ],
    [ 820, 1105 ],
    [ 821, 929 ],
    [ 822, 169 ],
    [ 823, 1469 ],
    [ 824, 285 ],
    [ 825, 231 ],
    [ 826, 417 ],
    [ 827, 1421 ],
    [ 828, 1041 ],
    [ 829, 197 ],
    [ 830, 63 ],
    [ 831, 129 ],
    [ 832, 637 ],
    [ 833, 225 ],
    [ 834, 37 ],
    [ 835, 245 ],
    [ 836, 61 ],
    [ 837, 29 ],
    [ 838, 2925 ],
    [ 839, 41 ],
    [ 840, 133 ],
    [ 841, 617 ],
    [ 842, 427 ],
    [ 843, 225 ],
    [ 844, 31 ],
    [ 845, 77 ],
    [ 846, 945 ],
    [ 847, 959 ],
    [ 848, 673 ],
    [ 849, 1691 ],
    [ 850, 235 ],
