c:\sys\ut\rpn\rpn.py -l100 -E -a2002 2 2500 range lambda 2 x ** previous_prime 2 x ** - eval 2 enumerate -s1
[
    [ 784, -759 ],
    [ 785, -349 ],
    [ 786, -137 ],
    [ 787, -277 ],
    [ 788, -453 ],
    [ 789, -201 ],
    [ 790, -677 ],
    [ 791, -337 ],
    [ 792, -1299 ],
    [ 793, -175 ],
    [ 794, -513 ],
    [ 795, -409 ],
    [ 796, -267 ],
    [ 797, -1095 ],
    [ 798, -503 ],
    [ 799, -411 ],
    [ 800, -105 ],
    [ 801, -205 ],
    [ 802, -47 ],
    [ 803, -495 ],
    [ 804, -387 ],
    [ 805, -511 ],
    [ 806, -621 ],
    [ 807, -189 ],
    [ 808, -17 ],
    [ 809, -313 ],
    [ 810, -5 ],
    [ 811, -87 ],
    [ 812, -195 ],
    [ 813, -73 ],
    [ 814, -281 ],
    [ 815, -61 ],
    [ 816, -959 ],
    [ 817, -295 ],
    [ 818, -281 ],
    [ 819, -579 ],
    [ 820, -519 ],
    [ 821, -139 ],
    [ 822, -195 ],
    [ 823, -97 ],
    [ 824, -209 ],
    [ 825, -61 ],
    [ 826, -755 ],
    [ 827, -199 ],
    [ 828, -423 ],
    [ 829, -123 ],
    [ 830, -153 ],
    [ 831, -1869 ],
    [ 832, -143 ],
    [ 833, -519 ],
    [ 834, -87 ],
    [ 835, -1821 ],
    [ 836, -447 ],
    [ 837, -1335 ],
    [ 838, -95 ],
    [ 839, -639 ],
    [ 840, -213 ],
    [ 841, -201 ],
    [ 842, -371 ],
    [ 843, -445 ],
    [ 844, -435 ],
    [ 845, -301 ],
    [ 846, -63 ],
    [ 847, -399 ],
    [ 848, -17 ],
    [ 849, -871 ],
    [ 850, -3 ],
    [ 851, -3417 ],
    [ 852, -777 ],
    [ 853, -1923 ],
    [ 854, -393 ],
    [ 855, -387 ],
    [ 856, -459 ],
    [ 857, -441 ],
    [ 858, -437 ],
    [ 859, -825 ],
    [ 860, -1967 ],
    [ 861, -441 ],
    [ 862, -1887 ],
    [ 863, -421 ],
    [ 864, -243 ],
    [ 865, -103 ],
    [ 866, -1713 ],
    [ 867, -555 ],
    [ 868, -467 ],
    [ 869, -21 ],
    [ 870, -783 ],
    [ 871, -301 ],
    [ 872, -177 ],
    [ 873, -441 ],
    [ 874, -1065 ],
    [ 875, -727 ],
    [ 876, -117 ],
    [ 877, -393 ],
    [ 878, -111 ],
    [ 879, -681 ],
    [ 880, -113 ],
    [ 881, -661 ],
    [ 882, -2201 ],
    [ 883, -91 ],
    [ 884, -189 ],
    [ 885, -541 ],
    [ 886, -45 ],
    [ 887, -69 ],
    [ 888, -915 ],
    [ 889, -49 ],
    [ 890, -135 ],
    [ 891, -201 ],
    [ 892, -395 ],
    [ 893, -1065 ],
    [ 894, -881 ],
    [ 895, -481 ],
    [ 896, -213 ],
    [ 897, -649 ],
    [ 898, -365 ],
    [ 899, -337 ],
    [ 900, -207 ],
    [ 901, -1281 ],
    [ 902, -1667 ],
    [ 903, -585 ],
    [ 904, -609 ],
    [ 905, -75 ],
    [ 906, -353 ],
    [ 907, -49 ],
    [ 908, -423 ],
    [ 909, -153 ],
    [ 910, -357 ],
    [ 911, -1191 ],
    [ 912, -1935 ],
    [ 913, -981 ],
    [ 914, -185 ],
    [ 915, -2145 ],
    [ 916, -683 ],
    [ 917, -189 ],
    [ 918, -957 ],
    [ 919, -241 ],
    [ 920, -185 ],
    [ 921, -669 ],
    [ 922, -483 ],
    [ 923, -31 ],
    [ 924, -143 ],
    [ 925, -421 ],
    [ 926, -1037 ],
    [ 927, -1501 ],
    [ 928, -645 ],
    [ 929, -979 ],
    [ 930, -765 ],
    [ 931, -129 ],
    [ 932, -617 ],
    [ 933, -133 ],
    [ 934, -365 ],
    [ 935, -799 ],
    [ 936, -1325 ],
    [ 937, -489 ],
    [ 938, -1601 ],
    [ 939, -205 ],
    [ 940, -215 ],
    [ 941, -385 ],
    [ 942, -627 ],
    [ 943, -367 ],
    [ 944, -573 ],
    [ 945, -451 ],
    [ 946, -1055 ],
    [ 947, -519 ],
    [ 948, -1629 ],
    [ 949, -81 ],
    [ 950, -117 ],
    [ 951, -1467 ],
    [ 952, -99 ],
    [ 953, -229 ],
    [ 954, -485 ],
    [ 955, -1027 ],
    [ 956, -1337 ],
    [ 957, -489 ],
    [ 958, -1127 ],
    [ 959, -439 ],
    [ 960, -167 ],
    [ 961, -129 ],
    [ 962, -1697 ],
    [ 963, -109 ],
    [ 964, -293 ],
    [ 965, -3151 ],
    [ 966, -1383 ],
    [ 967, -69 ],
    [ 968, -1347 ],
    [ 969, -1179 ],
    [ 970, -237 ],
    [ 971, -547 ],
    [ 972, -185 ],
    [ 973, -1153 ],
    [ 974, -651 ],
    [ 975, -115 ],
    [ 976, -2147 ],
    [ 977, -169 ],
    [ 978, -2355 ],
    [ 979, -819 ],
    [ 980, -525 ],
    [ 981, -325 ],
    [ 982, -1631 ],
    [ 983, -405 ],
    [ 984, -557 ],
    [ 985, -805 ],
    [ 986, -77 ],
    [ 987, -927 ],
    [ 988, -273 ],
    [ 989, -243 ],
    [ 990, -195 ],
    [ 991, -537 ],
    [ 992, -1779 ],
    [ 993, -45 ],
    [ 994, -1133 ],
    [ 995, -987 ],
    [ 996, -123 ],
    [ 997, -103 ],
    [ 998, -1133 ],
    [ 999, -139 ],
    [ 1000, -1245 ],
    [ 1001, -549 ],
    [ 1002, -387 ],
    [ 1003, -241 ],
    [ 1004, -1037 ],
    [ 1005, -979 ],
    [ 1006, -825 ],
    [ 1007, -61 ],
    [ 1008, -33 ],
    [ 1009, -1131 ],
    [ 1010, -231 ],
    [ 1011, -1209 ],
    [ 1012, -87 ],
    [ 1013, -1725 ],
    [ 1014, -347 ],
    [ 1015, -789 ],
    [ 1016, -303 ],
    [ 1017, -1449 ],
    [ 1018, -57 ],
    [ 1019, -135 ],
    [ 1020, -537 ],
    [ 1021, -553 ],
    [ 1022, -755 ],
    [ 1023, -361 ],
    [ 1024, -105 ],
    [ 1025, -2673 ],
    [ 1026, -2531 ],
    [ 1027, -4959 ],
    [ 1028, -497 ],
    [ 1029, -1195 ],
    [ 1030, -27 ],
    [ 1031, -171 ],
    [ 1032, -909 ],
    [ 1033, -319 ],
    [ 1034, -897 ],
    [ 1035, -441 ],
    [ 1036, -1127 ],
    [ 1037, -1359 ],
    [ 1038, -1535 ],
    [ 1039, -75 ],
    [ 1040, -395 ],
    [ 1041, -1083 ],
    [ 1042, -1065 ],
    [ 1043, -307 ],
    [ 1044, -567 ],
    [ 1045, -1435 ],
    [ 1046, -101 ],
    [ 1047, -1095 ],
    [ 1048, -449 ],
    [ 1049, -243 ],
    [ 1050, -1881 ],
    [ 1051, -175 ],
    [ 1052, -3789 ],
    [ 1053, -313 ],
    [ 1054, -33 ],
    [ 1055, -381 ],
    [ 1056, -725 ],
    [ 1057, -603 ],
    [ 1058, -125 ],
    [ 1059, -1449 ],
    [ 1060, -599 ],
    [ 1061, -349 ],
    [ 1062, -177 ],
    [ 1063, -585 ],
    [ 1064, -257 ],
    [ 1065, -51 ],
    [ 1066, -113 ],
    [ 1067, -525 ],
    [ 1068, -279 ],
    [ 1069, -195 ],
    [ 1070, -783 ],
    [ 1071, -741 ],
    [ 1072, -1305 ],
    [ 1073, -111 ],
    [ 1074, -683 ],
    [ 1075, -2301 ],
    [ 1076, -825 ],
    [ 1077, -33 ],
    [ 1078, -801 ],
    [ 1079, -75 ],
    [ 1080, -405 ],
    [ 1081, -235 ],
    [ 1082, -1223 ],
    [ 1083, -207 ],
    [ 1084, -285 ],
    [ 1085, -1321 ],
    [ 1086, -3323 ],
    [ 1087, -4005 ],
    [ 1088, -89 ],
    [ 1089, -849 ],
    [ 1090, -53 ],
    [ 1091, -1455 ],
    [ 1092, -1085 ],
    [ 1093, -255 ],
    [ 1094, -311 ],
    [ 1095, -45 ],
    [ 1096, -2255 ],
    [ 1097, -411 ],
    [ 1098, -263 ],
    [ 1099, -1035 ],
    [ 1100, -75 ],
    [ 1101, -303 ],
    [ 1102, -173 ],
    [ 1103, -55 ],
    [ 1104, -1049 ],
    [ 1105, -1335 ],
    [ 1106, -483 ],
    [ 1107, -199 ],
    [ 1108, -405 ],
    [ 1109, -363 ],
    [ 1110, -413 ],
    [ 1111, -325 ],
    [ 1112, -129 ],
    [ 1113, -1129 ],
    [ 1114, -587 ],
    [ 1115, -421 ],
    [ 1116, -93 ],
    [ 1117, -703 ],
    [ 1118, -533 ],
    [ 1119, -795 ],
